Productnummer;Omschrijving;Inclusieve winkelprijzen;Exclusieve winkelprijzen;Persoonlijke prijs;Leverancier;LeverancierId
000180;WASTAFEL INBOUW PLAATSTAAL EB.S450H ROND 450 MM M/1 KRG WIT;258,94;214,00;141,24;Sterck;LF7FIsS6Lh
000181;WASTAFEL INBOUW EB.R585H RECHTHOEK 585X405 MM  M/1 KRG WIT;385,99;319,00;210,54;Sterck;LF7FIsS6Lh
000009;TOILETKRAAN TALIS S CHROOM;166,98;138,00;82,80;Sterck;LF7FIsS6Lh
000008;TOILETKRAAN TALIS S VOOR STAANDE MONTAGE TAPKRAAN;229,90;190,00;117,80;Sterck;LF7FIsS6Lh
000191;ACTIVE FONTEINKRAAN CHROOM;82,28;68,00;40,80;Sterck;LF7FIsS6Lh
000277;CERAPLUS KOUDWATERKRAAN CHROOM;96,80;80,00;48,00;Sterck;LF7FIsS6Lh
004143;FREDDO 2 FONTEINKRAAN MESSING VERCHROOMD;183,92;152,00;91,20;Sterck;LF7FIsS6Lh
004144;FREDDO 3 FONTEINKRAAN MESSING VERCHROOMD;151,25;125,00;75,00;Sterck;LF7FIsS6Lh
004145;FREDDO 4 FONTEINKRAAN MESSING VERCHROOMD;220,22;182,00;109,20;Sterck;LF7FIsS6Lh
004146;FREDDO VERLENGSTUK 11 CM MESSING VERCHROOMD;62,92;52,00;31,20;Sterck;LF7FIsS6Lh
004147;FREDDO 5 FONTEINKRAAN MESSING VERCHROOMD;175,45;145,00;87,00;Sterck;LF7FIsS6Lh
004141;FREDDO 1 FONTEINKRAAN DRAAIBARE UITLOOP CHROOM;154,88;128,00;76,80;Sterck;LF7FIsS6Lh
004218;NOVA STYLE KOUDWATERKRAAN 90MM CHROOM;170,37;140,80;105,60;Sterck;LF7FIsS6Lh
000201;ALPHA FONTEINKRAAN BLAUW CHR;42,35;35,00;21,00;Sterck;LF7FIsS6Lh
000824;COOLBATH ECO FONTEINKRAAN VIERKANT DUDE Q;180,29;149,00;89,40;Sterck;LF7FIsS6Lh
000825;COOLBATH ECO FONTEINKRAAN ZONDERGREEPJE DUDE R;107,69;89,00;53,40;Sterck;LF7FIsS6Lh
000826;COOLBATH ECO FONTEINKRAAN STAAFGREEP DUDE S;110,11;91,00;54,60;Sterck;LF7FIsS6Lh
000827;COOLBATH ECO FONTEINKRAAN KRUISGREEP DUDE X;107,69;89,00;53,40;Sterck;LF7FIsS6Lh
000833;COOLBATH ECO FONTEINKRAAN GEBOGEN DUDE CHR;119,79;99,00;59,40;Sterck;LF7FIsS6Lh
000834;COOLBATH ECO FONTEINKRAAN DUDE CHR;168,19;139,00;83,40;Sterck;LF7FIsS6Lh
023517;FOCUS TAPKRAAN 70 KOUDWATER CHROOM 5L/MIN.Z/VIDAGE;122,82;101,50;60,90;Sterck;LF7FIsS6Lh
044185;PROJECT X KOUDWATERKRAAN CHROOM;83,49;69,00;41,40;Sterck;LF7FIsS6Lh
004273;LEVEL KOUDWATERKRAAN VIERKANT CHROOM;185,13;153,00;94,86;Sterck;LF7FIsS6Lh
000748;"COSTA L TOILETKRAAN Ω"""" CHROOM";56,87;47,00;28,20;Sterck;LF7FIsS6Lh
051411;ATLANTA TOILETKRAAN CHROOM MET DRAAIBARE UITLOOP;94,38;78,00;44,46;Sterck;LF7FIsS6Lh
051420;"COSTA L TAPKRAAN 1/2"" WANDMONTAGE CHR";50,82;42,00;25,20;Sterck;LF7FIsS6Lh
000122;METRIS S WASTAFELMENGKRAAN CHROOM;272,86;225,50;135,30;Sterck;LF7FIsS6Lh
000123;METRIS E WASTAFELMENGKRAAN CHROOM;222,64;184,00;114,08;Sterck;LF7FIsS6Lh
000128;FOCUS E 1-GREEPS WASTAFELMENGKRAAN CHROOM;117,98;97,50;58,50;Sterck;LF7FIsS6Lh
000129;FOCUS S WASTAFELMENGKRAAN CHROOM;159,72;132,00;79,20;Sterck;LF7FIsS6Lh
000140;TALIS S 1GREEPS WASTAFELMENGKRAAN MET AUTOM LEDIGING CHROOM;204,49;169,00;104,78;Sterck;LF7FIsS6Lh
000144;TALIS S WASTAFELMENGKRAAN HOGE UITLOOP AUTOM LEDIGING CHROOM;308,55;255,00;158,10;Sterck;LF7FIsS6Lh
000141;TALIS S WASTAFELMENGKRAAN ZONDER WASTEGARNITUUR CHROOM;196,02;162,00;100,44;Sterck;LF7FIsS6Lh
000142;TALIS S 2  WASTAFELMENGKRAAN CHROOM;197,23;163,00;97,80;Sterck;LF7FIsS6Lh
000126;TALIS E 2 WASTAFELMENGKRAAN CHROOM;174,24;144,00;86,40;Sterck;LF7FIsS6Lh
000143;TALIS S 2 WASTAFELMENGKRAAN ZONDER WASTEGARNITUUR CHROOM;193,60;160,00;96,00;Sterck;LF7FIsS6Lh
000145;TALIS S≤ WASTAFELMENGKRAAN HOGE UITLOOP NIET DRAAIB;291,61;241,00;149,42;Sterck;LF7FIsS6Lh
000004;AX STARCK CLASSIC WASTAFELMENGKRAAN CHROOM;592,90;490,00;303,80;Sterck;LF7FIsS6Lh
000005;AX STARCK EENGREEPS WASTAFELMENGKRAAN;592,90;490,00;303,80;Sterck;LF7FIsS6Lh
000154;AX CITTERIO M 1GREEPS WASTAFELMENGKRAAN CHROOM;454,96;376,00;225,60;Sterck;LF7FIsS6Lh
000194;ACTIVE WASTAFELMENGKRAAN MET WASTE;181,50;150,00;90,00;Sterck;LF7FIsS6Lh
000224;CERAPLAN NEW WASTAFMENGKRAAN CHROOM ECO M/KETTING;131,29;108,50;65,10;Sterck;LF7FIsS6Lh
000225;CERAPLAN NEW WASTAFMENGKRAAN CHR MET VIDAGE;137,34;113,50;68,10;Sterck;LF7FIsS6Lh
000325;SLIMLINE 2 WASTAFELMENGKRAAN MET KUNSTSTOF VIDAGE CHROOM;96,80;80,00;48,00;Sterck;LF7FIsS6Lh
000655;WASTAFELMENGKRAAN EUROSMART CHR;112,53;93,00;57,66;Sterck;LF7FIsS6Lh
000656;BIDETMENGKRAAN EUROSMART CHR;124,63;103,00;63,86;Sterck;LF7FIsS6Lh
070603;BIDETMENGKRAAN EUROSMART CHR;107,69;89,00;55,18;Sterck;LF7FIsS6Lh
000775;EUROPLUS 1GREEPSMENGKRAAN WASTAFEL KLEIN MODEL AUT LED CHROO;228,69;189,00;117,18;Sterck;LF7FIsS6Lh
014163;MARA WASTAFELMENGKRAAN CHROOM AUT.LED.;163,35;135,00;83,70;Sterck;LF7FIsS6Lh
000132;FOCUS 70 WASTAFELMENGKRAAN CHROOM MET VIDAGE;122,82;101,50;60,90;Sterck;LF7FIsS6Lh
004268;STICK LAVABOKRAAN MET VIDAGE CHROOM;129,47;107,00;66,34;Sterck;LF7FIsS6Lh
022369;FOCUS 100 LAVABOKRAAN MET VIDAGE CHROOM;166,98;138,00;82,80;Sterck;LF7FIsS6Lh
031396;ATTRACT WASTAFELMENGKRAAN CHROOM M/AUT.LEDIGING;114,95;95,00;57,00;Sterck;LF7FIsS6Lh
031398;ATTRACT WASTAFELMENGKRAAN MET KETTING CHROOM;108,90;90,00;54,00;Sterck;LF7FIsS6Lh
014109;ATTITUDE WASTAFELMENGKRAAN MET WASTE CHROOM;235,95;195,00;120,90;Sterck;LF7FIsS6Lh
022404;CERAMIX BLUE WASTAFELMENGKRAAN CHROOM MET VIDAGE;211,75;175,00;105,00;Sterck;LF7FIsS6Lh
000832;COOLBATH BUDDY WASTAFEL KRAAN KLEIN MODEL CHROOM;131,89;109,00;65,40;Sterck;LF7FIsS6Lh
022620;LAVABOKRAAN MET KETTING EUROSMART;104,06;86,00;53,32;Sterck;LF7FIsS6Lh
034101;EUROSTYLE COSMO 1GREEPSWASTAFELMENGKRAAN SLIM BODY M/VID CHR;164,56;136,00;84,32;Sterck;LF7FIsS6Lh
000774;EUROPLUS 1GREEPSMENGKRAAN WASTAFEL MET LEDIGING CHROOM;237,16;196,00;117,60;Sterck;LF7FIsS6Lh
070654;EUROSMART- new LAVABOKRAAN S  met ketting;100,43;83,00;49,80;Sterck;LF7FIsS6Lh
074232;EUROSMART WASTAFELMENGKRAAN NEW CHR;102,85;85,00;48,45;Sterck;LF7FIsS6Lh
000124;METRIS S OPBOUW BADMENGKRAAN CHROOM;370,87;306,50;190,03;Sterck;LF7FIsS6Lh
000125;METRIS E BADMENGKRAAN CHROOM;302,50;250,00;155,00;Sterck;LF7FIsS6Lh
000133;FOCUS E OPBOUWBADMENGKRAAN CHROOM;156,09;129,00;77,40;Sterck;LF7FIsS6Lh
000134;FOCUS S OPBOUWBADMENGKRAAN CHROOM NAAKT;197,23;163,00;97,80;Sterck;LF7FIsS6Lh
000146;TALIS S 1GREEPS OPBOUW BADMENGKRAAN CHROOM;257,73;213,00;132,06;Sterck;LF7FIsS6Lh
000147;TALIS S 2 OPBOUW BADMENGKRAAN;258,94;214,00;128,40;Sterck;LF7FIsS6Lh
000186;ACTIVE BAD/DOUCHE MENGKRAAN OPBOUW NAAKT;272,25;225,00;135,00;Sterck;LF7FIsS6Lh
000219;CERAPLAN NEW BAD/DOUCHEMENGKRAAN CHR NAAKT;184,53;152,50;91,50;Sterck;LF7FIsS6Lh
000220;CERAPLAN NEW BAD/DOUCHEMENGKRAAN MET GARNITUUR CHROOM;196,89;162,72;97,63;Sterck;LF7FIsS6Lh
000322;SLIMLINE 2 BAD/DOUCHEMENGKRAAN OPBOUW CHROOM;139,15;115,00;69,00;Sterck;LF7FIsS6Lh
000660;EUROSMART BADGMENGKRAN RELEXA PLUS DOUCHESET CHR;177,87;147,00;91,14;Sterck;LF7FIsS6Lh
000665;EUROPLUS MENGKRAAN BAD/DOUCHE Z/ DOUCHEGARN CHR;319,44;264,00;163,68;Sterck;LF7FIsS6Lh
000673;ESSENCE BADMENGKRAAN MET BADSET WANDMONTAGE CHR;349,69;289,00;179,18;Sterck;LF7FIsS6Lh
004269;STICK BADKRAAN NAAKT CHROOM;168,19;139,00;86,18;Sterck;LF7FIsS6Lh
004270;STICK BADKRAAN COMPLEET CHROOM;205,70;170,00;105,40;Sterck;LF7FIsS6Lh
000127;TALIS E 2 OPBOUW BADMENGKRAAN CHROOM;235,35;194,50;116,70;Sterck;LF7FIsS6Lh
000138;FOCUS EENGREEPSMENGKRAAN B/D OPBOUW CHROOM;160,93;133,00;79,80;Sterck;LF7FIsS6Lh
031390;ATTRACT BAD/DOUCHEMENGKRAAN OPBOUW CHROOM NAAKT;163,35;135,00;81,00;Sterck;LF7FIsS6Lh
051757;COSTA L  BAD/DOUCHE TWEEGREEPSMENGKRAAN KOMPLEET CHR.;163,35;135,00;83,70;Sterck;LF7FIsS6Lh
074235;BADMENGKRAAN EUROECO CHR;106,48;88,00;54,56;Sterck;LF7FIsS6Lh
022208;EURODISC COSMPOLITAN EENGREEPSMENGKR B/D CHR;234,74;194,00;120,28;Sterck;LF7FIsS6Lh
070605;EUROSMART BADDOUCHEMENGKRAAN ZONDER DOUCHEGARN CHR;124,63;103,00;58,71;Sterck;LF7FIsS6Lh
000012;ECOSTAT 1001 SL BADTHERMOSTAAT CHROOM;442,86;366,00;219,60;Sterck;LF7FIsS6Lh
